,User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
5607,user6033,Product13,Initiated,Coupon unknown,2022-06-28 23:36:00,2022-06-28 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
5608,user7001,Product3,Initiated,Coupon unknown,2022-06-28 23:32:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5609,user7002,Product4,Initiated,Coupon unknown,2022-06-28 23:30:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5610,user6971,Product8,Initiated,Coupon26,2022-06-28 23:27:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5611,user6971,Product8,Initiated,Coupon26,2022-06-28 23:27:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5612,user6971,Product8,Initiated,Coupon26,2022-06-28 23:27:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5613,user6971,Product8,Initiated,Coupon26,2022-06-28 23:27:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5614,user7003,Product1,Initiated,Coupon unknown,2022-06-29 07:27:00,2022-06-29 00:00:00,Email,2499.0,Payment Mode unknown,INR,Bank unknown
5615,user7004,Product1,Initiated,Coupon unknown,2022-06-29 07:27:00,2022-06-29 00:00:00,Email,2499.0,Payment Mode unknown,INR,Bank unknown
5616,user6957,Product8,Initiated,Coupon unknown,2022-06-29 07:15:00,2022-06-29 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5617,user7005,Product1,Initiated,Coupon unknown,2022-06-29 06:44:00,2022-06-29 00:00:00,Email,2499.0,Payment Mode unknown,INR,Bank unknown
5618,user7007,Product1,Initiated,Coupon unknown,2022-06-29 06:03:00,2022-06-29 00:00:00,Email,2499.0,Payment Mode unknown,INR,Bank unknown
5619,user7008,Product1,Initiated,Coupon unknown,2022-06-29 05:43:00,2022-06-29 00:00:00,Paid,2499.0,Payment Mode unknown,INR,Bank unknown
5620,user7009,Product1,Initiated,Coupon unknown,2022-06-29 05:43:00,2022-06-29 00:00:00,Email,2499.0,Payment Mode unknown,INR,Bank unknown
5621,user7010,Product1,Initiated,Coupon unknown,2022-06-29 05:35:00,2022-06-29 00:00:00,Email,2499.0,Payment Mode unknown,INR,Bank unknown
5622,user6986,Product1,Initiated,Coupon13,2022-06-29 05:18:00,2022-06-28 00:00:00,Email,25000.0,Payment Mode unknown,INR,Bank unknown
5623,user7011,Product1,Initiated,Coupon unknown,2022-06-29 05:18:00,2022-06-28 00:00:00,Email,2499.0,Payment Mode unknown,INR,Bank unknown
5624,user6986,Product1,Initiated,Coupon13,2022-06-29 05:16:00,2022-06-28 00:00:00,Direct,25000.0,Payment Mode unknown,INR,Bank unknown
5625,user6986,Product1,Initiated,Coupon13,2022-06-29 05:15:00,2022-06-28 00:00:00,Email,25000.0,Payment Mode unknown,INR,Bank unknown
5626,user6986,Product1,Initiated,Coupon13,2022-06-29 05:14:00,2022-06-28 00:00:00,Email,25000.0,Payment Mode unknown,INR,Bank unknown
5627,user7012,Product1,Initiated,Coupon unknown,2022-06-29 04:42:00,2022-06-28 00:00:00,Email,2499.0,Payment Mode unknown,INR,Bank unknown
5628,user297,Product1,Initiated,Coupon3,2022-06-29 04:25:00,2022-06-28 00:00:00,Direct,2399.0,Payment Mode unknown,INR,Bank unknown
5629,user6990,Product95,Initiated,Coupon unknown,2022-06-29 03:45:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5630,user7013,Product4,paid,Coupon unknown,2022-06-29 03:24:00,2022-06-28 00:00:00,Direct,2022.0,card,INR,Bank unknown
5631,user7014,Product19,paid,Coupon unknown,2022-06-29 01:55:00,2022-06-28 00:00:00,Direct,2999.0,card,INR,Bank unknown
5632,user6966,Product1,Initiated,Coupon unknown,2022-06-29 01:46:00,2022-06-28 00:00:00,Email,2499.0,Payment Mode unknown,INR,Bank unknown
5633,user7015,Product1,paid,Coupon unknown,2022-06-29 01:36:00,2022-06-28 00:00:00,Email,2499.0,upi,INR,Bank unknown
5634,user7017,Product8,paid,Coupon unknown,2022-06-29 00:58:00,2022-06-28 00:00:00,Direct,59.0,card,USD,Bank unknown
5635,user7021,Product1,Initiated,Coupon unknown,2022-06-29 00:06:00,2022-06-28 00:00:00,Paid,2499.0,Payment Mode unknown,INR,Bank unknown
5636,user7022,Product35,Initiated,Coupon unknown,2022-06-28 23:58:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5637,user7023,Product8,Initiated,Coupon unknown,2022-06-28 22:54:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5638,user7023,Product8,Initiated,Coupon unknown,2022-06-28 22:52:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5639,user7023,Product8,Initiated,Coupon unknown,2022-06-28 22:52:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5640,user7024,Product8,Initiated,Coupon unknown,2022-06-28 22:48:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5641,user7026,Product39,Initiated,Coupon unknown,2022-06-28 22:55:00,2022-06-28 00:00:00,Direct,1000.0,Payment Mode unknown,INR,Bank unknown
5642,user7023,Product8,Initiated,Coupon unknown,2022-06-28 22:51:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5643,user7028,Product8,Initiated,Coupon unknown,2022-06-28 22:38:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
